fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
7,7,1,2,2,5,6,1,2.25,89000,33,1,30.05847076,50025,26.2985255,62055
6,7,2,3,5,2,4,3,2.5,90000,35,1,42.61367521,43875,41.02696078,36720
3,3,4,5,3,4,2,5,4.5,90000,36,1,51.50817236,50475,30.02872531,33420
6,5,4,4,4,3,5,2,3.25,90000,30,2,34.5696767,67275,9.5,90000
3,3,3,4,3,4,4,3,3.5,90000,27,1,39.19410913,62130,19.64920411,74445
4,5,1,2,3,4,5,2,2.25,90000,56,2,40.71926281,59415,10.2154195,59535
2,2,5,5,2,5,2,5,5,90000,40,2,42.19559229,65340,13.85128205,87750
3,3,3,5,2,5,2,5,4.5,90000,43,2,28.42098093,44040,23.21763269,67545
5,5,3,4,2,5,4,3,3.75,90000,27,2,39.75748835,67605,35.64729133,64515
3,3,4,4,4,3,5,2,3.25,98000,69,1,38.69525038,69795,21.02756365,64215
1,1,1,1,2,5,6,1,2,100000,45,2,35.51260504,60690,20.86257896,97365
1,2,4,5,1,6,3,4,4.75,100000,29,2,41.31906121,47295,34.62176166,57900
3,3,5,4,2,5,4,3,4.25,100000,24,2,42.80703284,51615,28.57686883,53175
4,3,4,5,2,5,4,3,4.25,100000,20,1,30.57101806,73080,28.74351585,52050
5,5,2,3,3,4,4,3,3,100000,30,1,41.27487179,73125,33.87520525,91350
3,7,4,4,2,5,5,2,3.75,104000,37,2,30.59189406,74760,13.96190476,110250
3,3,3,2,2,5,4,3,3.25,109000,42,2,33.5039019,40365,6.166666667,90000
5,5,4,5,3,4,4,3,4,110000,36,2,30.79712163,64620,27.90052781,36945
5,5,1,3,3,4,6,1,2.25,110000,52,2,43.32892714,48795,44.73770492,42090
2,2,5,5,2,5,4,3,4.5,110000,27,1,30.54390564,57225,17.50082645,90750
9,8,2,2,3,4,4,3,2.75,110000,47,1,38.19413919,61425,22.86666667,56250
3,2,4,4,2,5,2,5,4.5,115000,32,2,33.94421769,55125,38.45582048,53475
7,5,2,3,2,5,4,3,3.25,120000,34,2,32.25409836,54900,34.55448409,46665
3,3,4,4,3,4,3,4,4,120000,56,2,28.33011089,52755,12.49615385,78000
6,7,1,1,2,5,6,1,2,125000,59,1,28.32562243,76515,34.45876289,58200
8,7,1,1,6,1,6,1,1,129000,31,1,37.16744403,64320,28.35166994,76350
4,5,3,4,2,5,5,2,3.5,129000,28,1,33.71741638,65025,27.20833333,72000
